La085Sr015FeO3_700_ramp-00068.xye	r_wp	volume	error	ka	error	kc	error	OoccTotal	error	Oocc1	error	crys_gaus	error	strain_gaus	error 
La085Sr015FeO3_700_red-00027.xye    10.63471   371.97116     0.01822     5.60430     0.00010    13.67526     0.00047     2.49685     0.02492     0.83228     0.00831    46.76199     0.34324     0.25010     0.00798
La085Sr015FeO3_700_red-00028.xye    10.64626   371.96572     0.01823     5.60427     0.00010    13.67521     0.00047     2.49660     0.02493     0.83220     0.00831    46.75972     0.34330     0.24988     0.00799
La085Sr015FeO3_700_red-00029.xye    10.62958   371.95929     0.01824     5.60424     0.00010    13.67513     0.00047     2.49595     0.02492     0.83198     0.00831    46.75099     0.34314     0.25010     0.00798
La085Sr015FeO3_700_red-00030.xye    10.65493   371.96174     0.01826     5.60425     0.00010    13.67515     0.00047     2.49820     0.02497     0.83273     0.00832    46.76660     0.34409     0.25012     0.00800
La085Sr015FeO3_700_red-00031.xye    10.63197   371.96383     0.01825     5.60426     0.00010    13.67520     0.00047     2.49667     0.02494     0.83222     0.00831    46.76092     0.34341     0.25011     0.00799
La085Sr015FeO3_700_red-00032.xye    10.64233   371.96236     0.01824     5.60425     0.00010    13.67518     0.00047     2.49655     0.02494     0.83218     0.00831    46.76785     0.34346     0.24974     0.00799
La085Sr015FeO3_700_red-00033.xye    10.66131   371.96156     0.01824     5.60425     0.00010    13.67515     0.00047     2.49748     0.02498     0.83249     0.00833    46.77109     0.34400     0.24971     0.00800
La085Sr015FeO3_700_red-00034.xye    10.63775   371.97014     0.01822     5.60430     0.00010    13.67525     0.00047     2.49592     0.02494     0.83197     0.00831    46.77609     0.34361     0.24992     0.00798
La085Sr015FeO3_700_red-00035.xye    10.65163   371.96091     0.01825     5.60424     0.00010    13.67516     0.00047     2.49423     0.02496     0.83141     0.00832    46.76627     0.34359     0.24978     0.00799
La085Sr015FeO3_700_red-00036.xye    10.63535   371.94213     0.01823     5.60414     0.00010    13.67496     0.00047     2.49599     0.02492     0.83200     0.00831    46.78976     0.34336     0.25007     0.00797
La085Sr015FeO3_700_red-00037.xye    10.64144   371.94236     0.01823     5.60415     0.00010    13.67496     0.00047     2.49596     0.02492     0.83199     0.00831    46.78004     0.34321     0.25002     0.00798
La085Sr015FeO3_700_red-00038.xye    10.65117   371.96078     0.01823     5.60425     0.00010    13.67512     0.00047     2.49492     0.02496     0.83164     0.00832    46.78228     0.34408     0.24999     0.00799
La085Sr015FeO3_700_red-00039.xye    10.65905   371.96424     0.01826     5.60426     0.00010    13.67523     0.00047     2.49500     0.02497     0.83167     0.00832    46.79411     0.34404     0.25004     0.00798
La085Sr015FeO3_700_red-00040.xye    10.64362   371.95955     0.01828     5.60423     0.00010    13.67518     0.00047     2.49341     0.02494     0.83114     0.00831    46.75339     0.34327     0.25017     0.00799
La085Sr015FeO3_700_red-00041.xye    10.63911   371.95836     0.01826     5.60423     0.00010    13.67514     0.00047     2.49492     0.02494     0.83164     0.00831    46.76806     0.34358     0.25028     0.00798
La085Sr015FeO3_700_red-00042.xye    10.65425   371.95730     0.01829     5.60422     0.00010    13.67513     0.00047     2.49421     0.02497     0.83140     0.00832    46.75886     0.34394     0.25039     0.00799
La085Sr015FeO3_700_red-00043.xye    10.67445   371.95225     0.01836     5.60419     0.00010    13.67509     0.00047     2.49489     0.02502     0.83163     0.00834    46.76917     0.34486     0.25100     0.00800
La085Sr015FeO3_700_red-00044.xye    10.65287   371.94953     0.01832     5.60418     0.00010    13.67504     0.00047     2.49417     0.02497     0.83139     0.00832    46.76447     0.34414     0.25094     0.00798
La085Sr015FeO3_700_red-00045.xye    10.66593   371.95202     0.01835     5.60420     0.00010    13.67505     0.00047     2.49412     0.02502     0.83137     0.00834    46.76146     0.34490     0.25101     0.00800
La085Sr015FeO3_700_red-00046.xye    10.67983   371.95000     0.01839     5.60419     0.00010    13.67504     0.00047     2.49318     0.02505     0.83106     0.00835    46.75308     0.34530     0.25116     0.00801
La085Sr015FeO3_700_red-00047.xye    10.66056   371.95498     0.01836     5.60422     0.00010    13.67508     0.00047     2.49295     0.02500     0.83098     0.00833    46.75298     0.34482     0.25168     0.00799
La085Sr015FeO3_700_red-00048.xye    10.68804   371.94669     0.01842     5.60417     0.00010    13.67500     0.00047     2.49354     0.02505     0.83118     0.00835    46.75725     0.34553     0.25183     0.00800
La085Sr015FeO3_700_red-00049.xye    10.65455   371.95723     0.01834     5.60424     0.00010    13.67507     0.00047     2.49165     0.02499     0.83055     0.00833    46.74754     0.34468     0.25163     0.00799
La085Sr015FeO3_700_red-00050.xye    10.68462   371.93104     0.01843     5.60409     0.00010    13.67480     0.00048     2.49199     0.02504     0.83066     0.00835    46.74521     0.34539     0.25209     0.00800
La085Sr015FeO3_700_red-00051.xye    10.67162   371.96383     0.01835     5.60428     0.00010    13.67508     0.00047     2.49163     0.02502     0.83054     0.00834    46.77072     0.34596     0.25241     0.00798
La085Sr015FeO3_700_red-00052.xye    10.67579   371.95888     0.01839     5.60424     0.00010    13.67510     0.00047     2.49035     0.02504     0.83012     0.00835    46.77237     0.34587     0.25215     0.00799
La085Sr015FeO3_700_red-00053.xye    10.66703   371.96024     0.01840     5.60425     0.00010    13.67509     0.00047     2.49012     0.02504     0.83004     0.00835    46.77662     0.34632     0.25273     0.00799
La085Sr015FeO3_700_red-00054.xye    10.67203   371.96479     0.01840     5.60428     0.00010    13.67514     0.00047     2.48945     0.02504     0.82982     0.00835    46.77573     0.34625     0.25264     0.00799
La085Sr015FeO3_700_red-00055.xye    10.70440   371.94499     0.01845     5.60417     0.00010    13.67492     0.00048     2.48901     0.02510     0.82967     0.00837    46.75446     0.34666     0.25249     0.00801
La085Sr015FeO3_700_red-00056.xye    10.69175   371.96327     0.01836     5.60429     0.00010    13.67503     0.00047     2.48864     0.02509     0.82955     0.00836    46.78862     0.34717     0.25241     0.00800
La085Sr015FeO3_700_red-00057.xye    10.69382   371.96049     0.01843     5.60426     0.00010    13.67506     0.00048     2.48701     0.02510     0.82900     0.00837    46.77360     0.34720     0.25271     0.00801
La085Sr015FeO3_700_red-00058.xye    10.69199   371.96324     0.01841     5.60428     0.00010    13.67506     0.00047     2.48791     0.02510     0.82930     0.00837    46.78260     0.34735     0.25282     0.00800
La085Sr015FeO3_700_red-00059.xye    10.68321   371.97523     0.01838     5.60435     0.00010    13.67516     0.00047     2.48686     0.02509     0.82895     0.00836    46.78916     0.34743     0.25275     0.00800
La085Sr015FeO3_700_red-00060.xye    10.70787   371.97259     0.01842     5.60433     0.00010    13.67515     0.00047     2.48732     0.02513     0.82911     0.00838    46.77848     0.34773     0.25259     0.00802
La085Sr015FeO3_700_red-00061.xye    10.68299   371.96728     0.01837     5.60431     0.00010    13.67506     0.00047     2.48508     0.02509     0.82836     0.00836    46.80769     0.34766     0.25289     0.00799
La085Sr015FeO3_700_red-00062.xye    10.69742   371.97581     0.01836     5.60437     0.00010    13.67512     0.00047     2.48596     0.02512     0.82865     0.00837    46.81633     0.34831     0.25282     0.00800
La085Sr015FeO3_700_red-00063.xye    10.69958   371.97424     0.01843     5.60435     0.00010    13.67515     0.00047     2.48348     0.02513     0.82783     0.00838    46.80281     0.34845     0.25332     0.00800
La085Sr015FeO3_700_red-00064.xye    10.69649   371.96850     0.01838     5.60432     0.00010    13.67506     0.00047     2.48352     0.02512     0.82784     0.00837    46.82482     0.34844     0.25299     0.00800
La085Sr015FeO3_700_red-00065.xye    10.71621   371.97276     0.01840     5.60435     0.00010    13.67508     0.00047     2.48424     0.02517     0.82808     0.00839    46.82651     0.34928     0.25291     0.00801
La085Sr015FeO3_700_red-00066.xye    10.70282   371.97319     0.01839     5.60435     0.00010    13.67511     0.00047     2.48265     0.02515     0.82755     0.00838    46.84551     0.34916     0.25303     0.00800
La085Sr015FeO3_700_red-00067.xye    10.70447   371.97349     0.01840     5.60435     0.00010    13.67510     0.00047     2.48443     0.02515     0.82814     0.00838    46.82584     0.34907     0.25313     0.00801
